,Date,precip_and_snowmelt_input_Spanish Fork_mean,irrigation_Spanish Fork_mean,AET_Spanish Fork_mean,soil_thickness_Spanish Fork_mean,soil_porosity_Spanish Fork_mean,field_capacity_Spanish Fork_mean,wilting_point_Spanish Fork_mean,Geo_K_Spanish Fork_mean,Runoff_Spanish Fork_mean,Recharge_Spanish Fork_mean,Soil_Water_End_Of_Previous_Timestep_Spanish Fork_mean,Soil_Saturation_Percent_End_Of_Timestep_Spanish Fork_mean,precip_and_snowmelt_input_m3_Spanish Fork_sum,irrigation_m3_Spanish Fork_sum,AET_m3_Spanish Fork_sum,Runoff_m3_Spanish Fork_sum,Recharge_m3_Spanish Fork_sum,Soil_Water_End_Of_Previous_Timestep_m3_Spanish Fork_sum,Spanish Fork_area_m2
0,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
1,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
2,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
3,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
4,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
5,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
6,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
7,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
8,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
9,2024-01-01,81.8483475112383,0.0,12.780408495071635,453.74414119923415,0.5124222436016401,111.03974788844687,59.59166881496429,10156.990070089196,1.3563314560693058,39.136992914981185,116.12011138003915,48.99525602468824,204023873.80879736,0.0,31857729.36811765,3380849.8205697616,97557152.3845884,289370419.42264885,2491954679.2164187
