,Date,precip_and_snowmelt_input_Central Bear_mean,irrigation_Central Bear_mean,AET_Central Bear_mean,soil_thickness_Central Bear_mean,soil_porosity_Central Bear_mean,field_capacity_Central Bear_mean,wilting_point_Central Bear_mean,Geo_K_Central Bear_mean,Runoff_Central Bear_mean,Recharge_Central Bear_mean,Soil_Water_End_Of_Previous_Timestep_Central Bear_mean,Soil_Saturation_Percent_End_Of_Timestep_Central Bear_mean,precip_and_snowmelt_input_m3_Central Bear_sum,irrigation_m3_Central Bear_sum,AET_m3_Central Bear_sum,Runoff_m3_Central Bear_sum,Recharge_m3_Central Bear_sum,Soil_Water_End_Of_Previous_Timestep_m3_Central Bear_sum,Central Bear_area_m2
0,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
1,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
2,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
3,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
4,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
5,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
6,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
7,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
8,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
9,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.453372
10,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
11,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
12,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
13,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
14,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
15,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
16,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.453372
17,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.453372
18,2024-01-01,47.5954288088477,0.0,2.344204590111074,421.94704961256423,0.49707034784299287,112.9367007867898,56.604707976480185,6650.654569894065,7.133799364355155,15.60372782595113,119.37063630551529,62.70307544024543,55614736.89257355,0.0,2739177.5779369995,8221789.238458101,17913779.945400555,136311663.73472267,2119436591.4576964
