,Date,precip_and_snowmelt_input_Upper Weber_mean,irrigation_Upper Weber_mean,AET_Upper Weber_mean,soil_thickness_Upper Weber_mean,soil_porosity_Upper Weber_mean,field_capacity_Upper Weber_mean,wilting_point_Upper Weber_mean,Geo_K_Upper Weber_mean,Runoff_Upper Weber_mean,Recharge_Upper Weber_mean,Soil_Water_End_Of_Previous_Timestep_Upper Weber_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Weber_mean,precip_and_snowmelt_input_m3_Upper Weber_sum,irrigation_m3_Upper Weber_sum,AET_m3_Upper Weber_sum,Runoff_m3_Upper Weber_sum,Recharge_m3_Upper Weber_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Weber_sum,Upper Weber_area_m2
0,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
1,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
2,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
3,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
4,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
5,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
6,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
7,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
8,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
9,2024-01-01,107.13796015358014,0.0,15.627383348950511,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,8.343764959106139,54.05293410286212,105.432553674138,54.479516460802834,323538163.20706266,0.0,47192076.919793844,25196974.128587563,163230199.59009042,318282379.88117224,3016627290.2777414
