,Date,precip_and_snowmelt_input_Southern Great Salt Lake Desert_mean,irrigation_Southern Great Salt Lake Desert_mean,AET_Southern Great Salt Lake Desert_mean,soil_thickness_Southern Great Salt Lake Desert_mean,soil_porosity_Southern Great Salt Lake Desert_mean,field_capacity_Southern Great Salt Lake Desert_mean,wilting_point_Southern Great Salt Lake Desert_mean,Geo_K_Southern Great Salt Lake Desert_mean,Runoff_Southern Great Salt Lake Desert_mean,Recharge_Southern Great Salt Lake Desert_mean,Soil_Water_End_Of_Previous_Timestep_Southern Great Salt Lake Desert_mean,Soil_Saturation_Percent_End_Of_Timestep_Southern Great Salt Lake Desert_mean,precip_and_snowmelt_input_m3_Southern Great Salt Lake Desert_sum,irrigation_m3_Southern Great Salt Lake Desert_sum,AET_m3_Southern Great Salt Lake Desert_sum,Runoff_m3_Southern Great Salt Lake Desert_sum,Recharge_m3_Southern Great Salt Lake Desert_sum,Soil_Water_End_Of_Previous_Timestep_m3_Southern Great Salt Lake Desert_sum,Southern Great Salt Lake Desert_area_m2
0,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
1,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
2,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
3,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
4,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
5,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
6,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
7,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
8,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
9,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
10,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
11,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
12,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.122343
13,2024-01-01,7.943230371956155,0.0,4.186948865807658,383.96221628885127,0.49497286100192894,79.98659795078045,41.96120655358125,3292.270653815342,1.3312868666064628,3.817164280928277,117.25890371898065,68.83420354713488,112590714.4936054,0.0,59361888.59232307,18870959.556217603,54104038.93746104,1660779050.0392177,14161305700.140097
