,Date,precip_and_snowmelt_input_Dirty Devil_mean,irrigation_Dirty Devil_mean,AET_Dirty Devil_mean,soil_thickness_Dirty Devil_mean,soil_porosity_Dirty Devil_mean,field_capacity_Dirty Devil_mean,wilting_point_Dirty Devil_mean,Geo_K_Dirty Devil_mean,Runoff_Dirty Devil_mean,Recharge_Dirty Devil_mean,Soil_Water_End_Of_Previous_Timestep_Dirty Devil_mean,Soil_Saturation_Percent_End_Of_Timestep_Dirty Devil_mean,precip_and_snowmelt_input_m3_Dirty Devil_sum,irrigation_m3_Dirty Devil_sum,AET_m3_Dirty Devil_sum,Runoff_m3_Dirty Devil_sum,Recharge_m3_Dirty Devil_sum,Soil_Water_End_Of_Previous_Timestep_m3_Dirty Devil_sum,Dirty Devil_area_m2
0,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.8083053
1,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
2,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
3,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
4,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
5,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
6,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
7,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
8,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.807995
9,2024-01-01,6.905815529886771,0.0,12.754980464972334,263.9636434398088,0.44740272427286765,38.73321467642475,21.5069331888122,8419.770322605493,0,0.0,0.1654296324198682,0.09419748602340372,15072773.317433756,0.0,27839322.947819617,0,0.0,361088.08670669515,2182180205.8083053
