,Date,precip_and_snowmelt_input_Provo_mean,irrigation_Provo_mean,AET_Provo_mean,soil_thickness_Provo_mean,soil_porosity_Provo_mean,field_capacity_Provo_mean,wilting_point_Provo_mean,Geo_K_Provo_mean,Runoff_Provo_mean,Recharge_Provo_mean,Soil_Water_End_Of_Previous_Timestep_Provo_mean,Soil_Saturation_Percent_End_Of_Timestep_Provo_mean,precip_and_snowmelt_input_m3_Provo_sum,irrigation_m3_Provo_sum,AET_m3_Provo_sum,Runoff_m3_Provo_sum,Recharge_m3_Provo_sum,Soil_Water_End_Of_Previous_Timestep_m3_Provo_sum,Provo_area_m2
0,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1987317
1,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1987317
2,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1989698
3,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1987317
4,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1989698
5,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1989698
6,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1989698
7,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1987317
8,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1987317
9,2024-01-01,113.50314525353124,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.082685735416021,59.77394024596401,128.0525860207831,60.47987568089237,200889423.7773368,0.0,7632334.715294117,17845600.924798917,105793949.51540123,226639865.42112833,1768697543.1987317
