,Date,precip_and_snowmelt_input_Provo_mean,irrigation_Provo_mean,AET_Provo_mean,soil_thickness_Provo_mean,soil_porosity_Provo_mean,field_capacity_Provo_mean,wilting_point_Provo_mean,Geo_K_Provo_mean,Runoff_Provo_mean,Recharge_Provo_mean,Soil_Water_End_Of_Previous_Timestep_Provo_mean,Soil_Saturation_Percent_End_Of_Timestep_Provo_mean,precip_and_snowmelt_input_m3_Provo_sum,irrigation_m3_Provo_sum,AET_m3_Provo_sum,Runoff_m3_Provo_sum,Recharge_m3_Provo_sum,Soil_Water_End_Of_Previous_Timestep_m3_Provo_sum,Provo_area_m2
0,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1989698
1,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
2,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
3,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
4,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1989698
5,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
6,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
7,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
8,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1989698
9,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
10,2024-01-01,114.04585426801556,0.0,4.312374773399486,439.9902514222166,0.5080836792035296,107.61539520574355,55.50397420123026,18941.57062330049,10.182421078724254,59.27731698189091,128.77460819221156,60.82512183197271,201849942.67249063,0.0,7632334.715294117,18022126.03157469,104915002.46240833,227917746.09459475,1768697543.1987317
