,Date,precip_and_snowmelt_input_Lower Lake Powell_mean,irrigation_Lower Lake Powell_mean,AET_Lower Lake Powell_mean,soil_thickness_Lower Lake Powell_mean,soil_porosity_Lower Lake Powell_mean,field_capacity_Lower Lake Powell_mean,wilting_point_Lower Lake Powell_mean,Geo_K_Lower Lake Powell_mean,Runoff_Lower Lake Powell_mean,Recharge_Lower Lake Powell_mean,Soil_Water_End_Of_Previous_Timestep_Lower Lake Powell_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower Lake Powell_mean,precip_and_snowmelt_input_m3_Lower Lake Powell_sum,irrigation_m3_Lower Lake Powell_sum,AET_m3_Lower Lake Powell_sum,Runoff_m3_Lower Lake Powell_sum,Recharge_m3_Lower Lake Powell_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower Lake Powell_sum,Lower Lake Powell_area_m2
0,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.377474
1,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.377474
2,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
3,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
4,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
5,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
6,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
7,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
8,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
9,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
10,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
11,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
12,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.378089
13,2024-01-01,19.46758533150204,0,29.793395686199666,163.9445783069289,0.45249489549576055,29.503377069907543,13.625301144803547,10250.843171179438,0.0,0.007266680151391639,1.4382944838125202,1.19795951829062,89518295.6910494,0,131788165.63927051,0.0,33416.055542270726,6207038.618560135,4474677871.377474
