,Date,"precip_and_snowmelt_input_Pilot-Thousand Springs, Nevada, Utah_mean","irrigation_Pilot-Thousand Springs, Nevada, Utah_mean","AET_Pilot-Thousand Springs, Nevada, Utah_mean","soil_thickness_Pilot-Thousand Springs, Nevada, Utah_mean","soil_porosity_Pilot-Thousand Springs, Nevada, Utah_mean","field_capacity_Pilot-Thousand Springs, Nevada, Utah_mean","wilting_point_Pilot-Thousand Springs, Nevada, Utah_mean","Geo_K_Pilot-Thousand Springs, Nevada, Utah_mean","Runoff_Pilot-Thousand Springs, Nevada, Utah_mean","Recharge_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Water_End_Of_Previous_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Saturation_Percent_End_Of_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","precip_and_snowmelt_input_m3_Pilot-Thousand Springs, Nevada, Utah_sum","irrigation_m3_Pilot-Thousand Springs, Nevada, Utah_sum","AET_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Runoff_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Recharge_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Soil_Water_End_Of_Previous_Timestep_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Pilot-Thousand Springs, Nevada, Utah_area_m2"
102,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
103,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
104,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
105,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
106,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
107,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
108,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
109,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
110,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
111,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
112,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.647639
113,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
114,2024-06-01,14.17599119809141,0,13.61898909202643,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,1.437523112375042,3.1049704940602587,164.04959429402894,61.97522795278223,7778358.767684405,0,7472770.322682353,788719.5673812602,1703743.6189858872,90012653.00781249,443313336.6475908
