,Date,precip_and_snowmelt_input_Great Salt Lake_mean,irrigation_Great Salt Lake_mean,AET_Great Salt Lake_mean,soil_thickness_Great Salt Lake_mean,soil_porosity_Great Salt Lake_mean,field_capacity_Great Salt Lake_mean,wilting_point_Great Salt Lake_mean,Geo_K_Great Salt Lake_mean,Runoff_Great Salt Lake_mean,Recharge_Great Salt Lake_mean,Soil_Water_End_Of_Previous_Timestep_Great Salt Lake_mean,Soil_Saturation_Percent_End_Of_Timestep_Great Salt Lake_mean,precip_and_snowmelt_input_m3_Great Salt Lake_sum,irrigation_m3_Great Salt Lake_sum,AET_m3_Great Salt Lake_sum,Runoff_m3_Great Salt Lake_sum,Recharge_m3_Great Salt Lake_sum,Soil_Water_End_Of_Previous_Timestep_m3_Great Salt Lake_sum,Great Salt Lake_area_m2
0,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
1,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
2,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
3,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
4,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.514576
5,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
6,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
7,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
8,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
9,2024-01-01,13.048546184239264,0.0,4.773953974532761,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,1.490138118438779,0.8507434811519851,46.179760541056964,32.681720427177524,59064959.51487072,0.0,21609587.731011275,6746006.636835866,3851332.8531245734,24879851.48906276,4521109697.509279
