,Date,precip_and_snowmelt_input_Curlew Valley_mean,irrigation_Curlew Valley_mean,AET_Curlew Valley_mean,soil_thickness_Curlew Valley_mean,soil_porosity_Curlew Valley_mean,field_capacity_Curlew Valley_mean,wilting_point_Curlew Valley_mean,Geo_K_Curlew Valley_mean,Runoff_Curlew Valley_mean,Recharge_Curlew Valley_mean,Soil_Water_End_Of_Previous_Timestep_Curlew Valley_mean,Soil_Saturation_Percent_End_Of_Timestep_Curlew Valley_mean,precip_and_snowmelt_input_m3_Curlew Valley_sum,irrigation_m3_Curlew Valley_sum,AET_m3_Curlew Valley_sum,Runoff_m3_Curlew Valley_sum,Recharge_m3_Curlew Valley_sum,Soil_Water_End_Of_Previous_Timestep_m3_Curlew Valley_sum,Curlew Valley_area_m2
10,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
11,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
12,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
13,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.263861
14,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
15,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
16,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
17,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
18,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
19,2024-01-01,34.05877471307781,0.0,13.730441031831344,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,2.247526896646939,3.276802687712279,100.58059673144027,37.36305558013096,181067410.81052774,0.0,72994419.47217868,11948090.659573412,17419426.236568473,528396169.00679934,5308895359.259445
20,2024-02-01,77.50891226168959,0.0,20.524155186420085,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,7.182361158694696,13.913010582589564,136.1604908246137,50.27577327111879,412071427.36293226,0.0,109111865.67332669,38183358.544356965,73970056.01415694,715326713.659098,5308895359.259445
21,2024-02-01,77.50891226168959,0.0,20.524155186420085,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,7.182361158694696,13.913010582589564,136.1604908246137,50.27577327111879,412071427.36293226,0.0,109111865.67332669,38183358.544356965,73970056.01415694,715326713.659098,5308895359.259445
22,2024-02-01,77.50891226168959,0.0,20.524155186420085,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,7.182361158694696,13.913010582589564,136.1604908246137,50.27577327111879,412071427.36293226,0.0,109111865.67332669,38183358.544356965,73970056.01415694,715326713.659098,5308895359.259445
23,2024-02-01,77.50891226168959,0.0,20.524155186420085,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,7.182361158694696,13.913010582589564,136.1604908246137,50.27577327111879,412071427.36293226,0.0,109111865.67332669,38183358.544356965,73970056.01415694,715326713.659098,5308895359.259445
24,2024-02-01,77.50891226168959,0.0,20.524155186420085,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,7.182361158694696,13.913010582589564,136.1604908246137,50.27577327111879,412071427.36293226,0.0,109111865.67332669,38183358.544356965,73970056.01415694,715326713.659098,5308895359.259445
