,Date,precip_and_snowmelt_input_Curlew Valley_mean,irrigation_Curlew Valley_mean,AET_Curlew Valley_mean,soil_thickness_Curlew Valley_mean,soil_porosity_Curlew Valley_mean,field_capacity_Curlew Valley_mean,wilting_point_Curlew Valley_mean,Geo_K_Curlew Valley_mean,Runoff_Curlew Valley_mean,Recharge_Curlew Valley_mean,Soil_Water_End_Of_Previous_Timestep_Curlew Valley_mean,Soil_Saturation_Percent_End_Of_Timestep_Curlew Valley_mean,precip_and_snowmelt_input_m3_Curlew Valley_sum,irrigation_m3_Curlew Valley_sum,AET_m3_Curlew Valley_sum,Runoff_m3_Curlew Valley_sum,Recharge_m3_Curlew Valley_sum,Soil_Water_End_Of_Previous_Timestep_m3_Curlew Valley_sum,Curlew Valley_area_m2
0,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
1,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
2,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
3,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
4,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
5,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
6,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
7,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
8,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.263861
9,2024-01-01,34.05877471307781,0.0,6.8784334674488745,553.8953761679139,0.512820346593001,135.85882060457143,68.04356258301046,4636.266829029154,4.555218241423981,12.036216335980171,175.75272738663253,59.60251332230821,181067410.81052774,0.0,36567564.03075445,24216398.15543399,63989214.48002865,923318375.8677129,5308895359.259445
