,Date,precip_and_snowmelt_input_Upper Dolores_mean,irrigation_Upper Dolores_mean,AET_Upper Dolores_mean,soil_thickness_Upper Dolores_mean,soil_porosity_Upper Dolores_mean,field_capacity_Upper Dolores_mean,wilting_point_Upper Dolores_mean,Geo_K_Upper Dolores_mean,Runoff_Upper Dolores_mean,Recharge_Upper Dolores_mean,Soil_Water_End_Of_Previous_Timestep_Upper Dolores_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Dolores_mean,precip_and_snowmelt_input_m3_Upper Dolores_sum,irrigation_m3_Upper Dolores_sum,AET_m3_Upper Dolores_sum,Runoff_m3_Upper Dolores_sum,Recharge_m3_Upper Dolores_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Dolores_sum,Upper Dolores_area_m2
0,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
1,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8232377
2,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
3,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
4,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8232377
5,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
6,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
7,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8232377
8,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
9,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
10,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
11,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
12,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
13,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
14,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
15,2024-01-01,23.350907760877405,0.0,12.937284312709702,284.5639595374564,0.4736590554761027,63.514596257738546,31.80097967896954,22270.379319917287,1.257939828537588,4.537647565352517,21.53630546559458,16.579604252642593,22982621.78983636,0.0,12732613.391461268,1238142.726096668,4466197.816248987,21105134.57873531,989942853.8229113
