,Date,precip_and_snowmelt_input_Willow_mean,irrigation_Willow_mean,AET_Willow_mean,soil_thickness_Willow_mean,soil_porosity_Willow_mean,field_capacity_Willow_mean,wilting_point_Willow_mean,Geo_K_Willow_mean,Runoff_Willow_mean,Recharge_Willow_mean,Soil_Water_End_Of_Previous_Timestep_Willow_mean,Soil_Saturation_Percent_End_Of_Timestep_Willow_mean,precip_and_snowmelt_input_m3_Willow_sum,irrigation_m3_Willow_sum,AET_m3_Willow_sum,Runoff_m3_Willow_sum,Recharge_m3_Willow_sum,Soil_Water_End_Of_Previous_Timestep_m3_Willow_sum,Willow_area_m2
0,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
1,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
2,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
3,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
4,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
5,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
6,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
7,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
8,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
9,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
10,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
11,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
12,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
13,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
14,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.5569468
15,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
16,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
17,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
18,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
19,2024-01-01,6.0105965449701575,0.0,6.080087542317818,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,0.0,10.115765671382592,5.305595246858083,14835731.125542121,0.0,15007846.865129417,0,0.0,24968371.71983334,2468328749.55742
20,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
21,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
22,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
23,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
24,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
25,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
26,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
27,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
28,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
29,2024-02-01,56.62926815493277,0.0,13.773723626166946,355.2598622961048,0.48610129376114564,82.81263165740864,40.47489986219139,9536.60816838864,0,12.63500800310851,41.284606226359585,21.978610834929686,139779660.61314058,0.0,33997804.232870586,0,31187699.873006232,101903327.93520665,2468328749.55742
